Velocity: x= 0.000000,  y= 0.000000, dist 3.638929, Mode: DualBand, 
Velocity: x= 0.202892,  y= 0.000000, dist 3.638929, Mode: DualBand, 
Velocity: x= 0.000000,  y= 0.000000, dist 3.550733, Mode: SingleBand, 
Velocity: x= 0.246960,  y= 0.000000, dist 3.527016, Mode: SingleBand, 
Velocity: x= 0.390505,  y= 0.000000, dist 3.503898, Mode: SingleBand, 
Velocity: x= 0.563966,  y= 0.000000, dist 3.503898, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.360184, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.353926, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.177680, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.118547, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.118547, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 3.054366, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.936949, Mode: SingleBand, 
Velocity: x= 0.000000,  y= 0.000000, dist 2.858677, Mode: VelObs, 
Velocity: x= 0.188052,  y= 0.000000, dist 2.857157, Mode: VelObs, 
Velocity: x= 0.368331,  y= 0.000000, dist 2.840486, Mode: VelObs, 
Velocity: x= 0.531383,  y= 0.000000, dist 2.769674, Mode: VelObs, 
Velocity: x= 0.679194,  y= 0.000000, dist 2.708121, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.651275, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.651275, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.538356, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.482704, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.373997, Mode: VelObs, 
Velocity: x= 0.375215,  y= 0.000000, dist 2.322235, Mode: VelObs, 
Velocity: x= 0.700000,  y= 0.000000, dist 2.322235, Mode: VelObs, 
Velocity: x= 0.279551,  y= 0.000000, dist 2.222775, Mode: VelObs, 
Velocity: x= 0.234616,  y= 0.000000, dist 2.222775, Mode: VelObs, 
Velocity: x= 0.264054,  y= 0.000000, dist 2.181476, Mode: VelObs, 
